Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
1,-1992.101449275362,nan,9.0,"(1.2222222222222223, 52.55555555555556)",0.7332275329386078
2,25035.896103896084,14.303592148468512,219.0,"(4.401826484018265, 171.0365296803653)",0.8983306807234691
3,2006.4507042253535,17.043928764564832,32.0,"(2.0625, 399.25)",0.5492150092819651
4,40082.242268041184,13.792619978243833,306.0,"(9.045751633986928, 453.10130718954247)",0.7847388655747868
5,-340.5683453237434,nan,27.0,"(1.5555555555555556, 522.1851851851852)",0.7469163417510541
6,7435.9791666666715,15.621654589145983,65.0,"(2.076923076923077, 651.5230769230769)",0.9042394376377768
7,2072.9148936170095,17.00854632024924,55.0,"(1.8, 893.6909090909091)",0.8917084767830893
8,48940.60465116281,13.575826673328917,213.0,"(5.92018779342723, 1210.0469483568074)",0.7647868546874244
9,104121.98666666666,12.756143885162782,25.0,"(3.24, 1403.16)",0.8825692150644326
10,78984.85074626864,13.056140495451343,737.0,"(10.086838534599728, 1470.843962008141)",0.7943262183045809
11,442.9154929577453,18.684197820125902,9.0,"(2.2222222222222223, 1493.111111111111)",0.7869526281849772
12,-877.657458563539,nan,31.0,"(7.548387096774194, 337.741935483871)",0.5587344432985657
13,-9323.527272727275,nan,8.0,"(5.625, 1060.625)",0.8884260179177642
14,12163.887096774182,15.087319048900232,126.0,"(13.26984126984127, 1750.7539682539682)",0.7450057457707979
15,-5884.059405940596,nan,25.0,"(10.32, 1159.48)",0.31454381684639315
16,-5743.029411764706,nan,27.0,"(10.444444444444445, 1382.7037037037037)",0.5976797180222305
17,-2570.9406392694073,nan,23.0,"(11.434782608695652, 1713.7391304347825)",0.8692142067839758
18,4175.902439024401,16.24812414060853,80.0,"(13.6625, 2036.0625)",0.6658677281051704
19,1255.826086956522,17.552676249237347,8.0,"(10.875, 158.25)",0.8834532030463912
20,-26490.448275862072,nan,9.0,"(10.11111111111111, 222.88888888888889)",0.9854397880106972
21,6640.976744186046,15.744420101499472,79.0,"(14.721518987341772, 1046.253164556962)",0.6444615351154758
22,862.1735159817345,17.96101330455097,9.0,"(11.666666666666666, 611.5555555555555)",0.789201060651544
23,17859.501960784313,14.670326640592224,95.0,"(18.431578947368422, 401.22105263157897)",0.765165727882931
24,-5016.125,nan,11.0,"(14.818181818181818, 422.72727272727275)",0.8617466307198008
25,-2394.073359073358,nan,16.0,"(18.25, 1844.625)",0.8551994786356787
26,-7033.796000000002,nan,33.0,"(20.0, 498.2121212121212)",0.784658500575646
27,680.644268774704,18.21769952004533,11.0,"(20.09090909090909, 1565.3636363636363)",0.7639310353007615
28,-6125.851405622496,nan,147.0,"(28.034013605442176, 804.7006802721088)",0.8170256109666225
29,-10813.928,nan,23.0,"(24.956521739130434, 935.695652173913)",0.8940147586124481
30,4564.26771653544,16.151572225049463,82.0,"(28.573170731707318, 1135.841463414634)",0.5283392180415711
31,984.2292490118562,17.817259332212117,21.0,"(27.142857142857142, 2147.3809523809523)",0.5157648985563588
32,-7790.960474308289,nan,82.0,"(30.634146341463413, 1236.4146341463415)",0.827441391143779
33,3410.8611111111095,16.467839911321803,30.0,"(30.566666666666666, 1247.9333333333334)",0.7070880862487898
34,8850.83600000001,15.43253926589963,78.0,"(33.256410256410255, 473.87179487179486)",0.5047365888527312
35,-2910.4159999999974,nan,12.0,"(31.083333333333332, 982.75)",0.708279454851884
36,593.7374517374519,18.366013889517774,9.0,"(31.444444444444443, 484.44444444444446)",0.8552251406781767
37,16163.909448818915,14.778633977915163,146.0,"(37.10958904109589, 2277.595890410959)",0.5072404807662282
38,2707.8207171314752,16.71845023340337,29.0,"(34.13793103448276, 582.2068965517242)",0.5619466808954507
39,19247.057915057914,14.589089117194805,31.0,"(35.645161290322584, 1290.225806451613)",0.4898048962025058
40,-1649.964,nan,10.0,"(35.0, 547.6)",0.8985949463698436
41,793.1225296442717,18.05164928316359,20.0,"(37.45, 258.1)",0.7393066401224727
42,165629.66926070047,12.252154663411783,897.0,"(56.78818283166109, 858.7157190635452)",0.6885722660041396
43,-20539.3046875,nan,20.0,"(40.65, 772.35)",0.8997342174768495
44,-8049.474708171212,nan,47.0,"(41.680851063829785, 814.7659574468086)",0.8722152478258088
45,310.8110236220473,19.06875896588337,11.0,"(38.54545454545455, 1459.8181818181818)",0.5917327887027962
46,493.567164179105,18.56663435141885,10.0,"(38.3, 2308.2)",0.7917413587484459
47,2383.1889763779545,16.85710379662639,20.0,"(44.55, 732.8)",0.4699403252411226
