x_coord,y_coord,Brightness,Total_Pixel_Count,Eccentricity,Area
3,170,9777.887500000012,188,0.9149018811083341,188
1,399,652.4411764705874,24,0.6901904267076215,24
8,453,15290.541899441334,246,0.8128767300808403,246
1,522,-2742.48905109489,15,0.8572478587885409,15
1,652,2533.1438848920807,54,0.9105728063719005,54
1,892,-1556.0,36,0.8509271159972507,36
5,1209,13000.475609756104,183,0.7608653087781209,183
3,1403,109577.47619047618,23,0.9144045968724435,23
9,1470,57852.02577319578,616,0.7814758440564279,616
7,1755,210.42857142857065,12,0.6386673647542696,12
8,337,495.1073446327682,18,0.7732805351674386,18
11,1160,-6445.833333333332,15,0.45033750463947053,15
10,1382,-3117.7623762376243,19,0.39301432644092227,19
14,1749,7530.0555555555475,84,0.3506572686253631,84
13,2035,3492.024390243896,74,0.6461250965716429,74
14,1046,2884.777777777781,62,0.8033961249910468,62
11,1714,387.53363228699527,16,0.7091633557948492,16
18,401,2677.462745098048,73,0.6136552954413945,73
19,497,598.9137254901943,15,0.7850414013354253,15
27,804,2963.8828125,109,0.8363092989387213,109
27,1135,1950.6440000000002,57,0.5481713717244913,57
29,1235,1911.576000000001,50,0.5428406449660711,50
27,2147,365.8515625,11,0.541379131080556,11
34,473,2400.5877862595516,52,0.6138528477480935,52
31,1248,616.2209302325573,21,0.6358494297951249,21
37,2277,9634.229249011856,124,0.3283394526231642,124
34,582,745.8062015503892,18,0.6459751934999391,18
35,1290,12356.78125,22,0.6162887341399139,22
37,258,-1803.513833992096,16,0.7235975271032243,16
38,814,-9194.96862745098,12,0.9487339793935381,12
55,858,162720.80155642028,734,0.687005106260666,734
48,568,1470.91796875,32,0.6011817649996852,32
47,698,-2106.235294117643,20,0.7732078908356104,20
48,200,2303.8616600790483,16,0.6941786493176687,16
48,752,-1755.0232558139542,19,0.8188309338426775,19
52,37,7963.596078431372,56,0.3439521470751447,56
51,577,1481.9453125,49,0.6939844412428182,49
58,2100,988.7674418604656,29,0.623141061856081,29
58,352,-2869.660079051384,16,0.8616440462740411,16
60,484,1520.9534883720917,38,0.5580509563519785,38
64,564,-28519.12927756655,44,0.7934444717647571,44
65,1235,-2219.3735408560315,30,0.6761678413971047,30
70,828,-56572.0708661417,136,0.9052755166197936,136
70,31,11007.64,103,0.309097653185147,103
68,496,4077.354330708651,104,0.6667027605589251,104
68,1946,2426.28515625,60,0.7037567976015726,60
72,2113,18806.56349206349,174,0.6669631740119607,174
71,61,10008.469879518074,107,0.36065425066219253,107
67,147,-11786.792828685255,14,0.8620629602485367,14
71,1159,-95750.78542510117,155,0.9242234097542654,155
67,880,-3064.290697674416,10,0.7625176558461324,10
69,639,3535.628458498024,38,0.7080127262189089,38
76,911,2046.6141732283431,42,0.7442053678863713,42
77,327,463.65625,19,0.6991970024921499,19
79,1215,-1082.1889763779473,35,0.7962600298271294,35
79,721,-2337.8823529411748,30,0.7840864497233242,30
82,691,-2852.592885375496,12,0.9324888333881678,12
84,1135,-2192.424124513622,21,0.8116313911526872,21
87,131,-4811.874015748035,60,0.6581459641530153,60
87,2271,2750.4705882352937,44,0.5737028465152803,44
90,286,3500.745098039217,61,0.7503583684748504,61
90,1900,9276.961538461532,116,0.7412148012107335,116
90,1157,1611.712062256811,47,0.69278447601358,47
93,1005,3432.7874015748093,70,0.7495651381382793,70
92,2252,3311.6307692307746,46,0.4613901995654627,46
92,69,3554.3125,26,0.7622839299719024,26
92,354,-2761.392156862741,19,0.7703366223481622,19
112,894,131757.50393700786,742,0.651490985638442,742
100,911,-15901.840637450194,24,0.7585810404396656,24
100,1527,2238.4705882352937,52,0.5857633757236191,52
104,92,-20793.29133858267,28,0.8193345150427864,28
105,2230,4574.035433070865,76,0.5349615241877078,76
103,834,-2920.9609375,19,0.7519542168476612,19
104,70,-1669.0476190476184,10,0.9177141670932353,10
105,420,860.0796812749031,32,0.7242247867212174,32
105,489,1032.1046511627865,31,0.8370087502363988,31
109,1033,3186.9047619047633,107,0.623476875493444,107
114,1502,18187.055335968384,141,0.45123635211423196,141
112,182,-15910.818897637786,27,0.8686356390196124,27
120,125,17297.96062992129,200,0.743910837608579,200
113,1086,409.78125,12,0.8194691426812922,12
120,2100,30486.86666666667,177,0.4897936576785126,177
117,1137,-2436.197628458496,36,0.8415777492772859,36
117,78,-15284.31075697211,13,0.7136304143692053,13
126,1079,12682.37944664032,160,0.8265921883763642,160
128,2054,10658.69322709163,135,0.33677072334330127,135
123,2141,-5823.984063745025,19,0.8452135506139343,19
132,1178,10858.57480314959,209,0.24898342998717435,209
128,37,3440.5418326693252,43,0.5066284756117478,43
130,1813,12729.476190476184,155,0.7619757351272677,155
127,1022,-2592.3540856031177,25,0.6159903175687326,25
128,2219,3834.874015748035,69,0.598202595518892,69
131,1600,1773.0595238095266,46,0.4657929410734419,46
130,1857,617.5776892430295,26,0.5304988805557769,26
131,1797,1458.015625,52,0.7503432561902185,52
132,391,465.0236220472434,15,0.7280416324592375,15
137,515,4439.265625,164,0.5450839828386156,164
133,29,1084.3333333333321,10,0.44857698529495516,10
136,1238,5327.404761904763,109,0.44665080888979225,109
138,1214,1218.8217054263587,38,0.5548353581581319,38
142,1753,10068.923076923093,155,0.5676491656113472,155
144,840,4863.928286852606,132,0.4800517832350535,132
153,989,111239.70916334662,507,0.43217230374568255,507
144,1332,4638.806451612909,96,0.6499700981746338,96
142,747,1040.1746031746006,26,0.7991948269885096,26
142,2292,-13254.897637795279,10,0.9053146159440332,10
147,677,5507.588932806335,125,0.5275910412333318,125
158,1668,788680.7359999999,765,0.31750351933166554,765
150,1828,8766.614173228358,131,0.576991135589666,131
148,717,979.2730923694762,19,0.7873683765795657,19
163,557,79937.1764705882,403,0.45053564852412087,403
155,428,2714.4330708661437,74,0.7451841802499515,74
163,497,94756.49212598428,404,0.6005978045853313,404
154,2176,-3027.9166666666642,17,0.6042705390626721,17
159,303,1149.15625,60,0.3301239519642072,60
158,739,834.9692307692312,29,0.6499583949077312,29
158,909,-3232.3170731707323,10,0.791648733724394,10
159,2165,488.07114624505994,11,0.7342900217900508,11
173,1958,25714.649805447436,431,0.6823066588676695,431
166,853,6323.673151750991,123,0.816067529719602,123
163,1279,792.9047619047633,18,0.8108464293289217,18
166,1133,1200.4609375,16,0.7605479447001217,16
167,1354,513.6459143968896,18,0.7435832496551136,18
175,523,11405.139534883725,165,0.5183865006326429,165
171,911,9391.623999999996,81,0.7143280970257804,81
178,780,2385.204724409443,93,0.4318037353093918,93
183,721,4203.915384615393,92,0.6130268551644865,92
181,2296,518.1545064377679,18,0.4293941313105385,18
181,748,481.1660079051362,27,0.7718798673246139,27
184,2233,3260.633466135463,63,0.6597865381060856,63
188,1583,53003.81673306774,214,0.49923497914772513,214
187,1865,597.1071428571413,25,0.4921783074901668,25
189,1989,2047.2954545454559,70,0.6167597309146765,70
193,604,1464.1621621621598,26,0.6114871440780841,26
195,1656,470.8125,20,0.692071854359498,20
197,66,-12523.30859375,10,0.7878178923244629,10
199,969,5241.678294573634,57,0.7835078941073547,57
198,402,423.74803149606305,13,0.8928449663979868,13
208,993,12409.498039215687,210,0.8284260324415246,210
207,646,316.6496062992155,39,0.4727850438333743,39
210,1512,-104818.28235294117,60,0.9684429730404609,60
219,49,-263274.73622047226,759,0.8857313268230941,759
208,2067,3361.0602409638523,62,0.6709635054702882,62
213,1196,369.3385826771664,11,0.7736144074963673,11
214,528,733.84375,30,0.8105582055751335,30
