x_coord,y_coord,Brightness,Total_Pixel_Count,Eccentricity,Area
828,70,14.486364784859363,136,0.9052755166197936,136
1159,71,14.445811453972293,155,0.9242234097542654,155
49,219,14.641321908718142,759,0.8857313268230941,759
99,230,14.60606038191283,118,0.6846060170356432,118
1828,229,16.13716689823704,72,0.9417083259302699,72
905,302,11.449531870121515,121,0.9138197189286528,121
320,367,14.453554683754444,274,0.9511443914343903,274
1996,407,15.553465119072929,88,0.9233561415380519,88
252,464,16.073368177133148,106,0.8737174518312889,106
726,574,16.504894549375493,76,0.9173145092106418,76
1649,621,14.71486222156274,233,0.8637055193674724,233
807,652,16.072454229422952,92,0.8888757881676373,92
618,759,15.06455396483312,209,0.9397927518162819,209
1042,879,13.66979860454709,369,0.8801944467539955,369
227,1034,14.97696752146921,124,0.8813735785037038,124
265,1054,15.267477683720639,112,0.8732057372815746,112
798,1093,15.079989589752909,141,0.9010444852508683,141
2062,1106,14.002335115016136,338,0.8754376419320642,338
2287,1208,13.936986068242092,268,0.9269949491489121,268
1865,1334,15.84398618090658,126,0.8670310754389641,126
372,1404,13.534486145295075,944,0.9191740487312097,944
1817,1430,11.293046962221664,1435,0.8879133980810843,1435
1550,1422,15.985766277996728,74,0.9154594736166773,74
2231,1501,15.472160514116041,99,0.9575552965184706,99
1613,1513,14.868705858278046,149,0.8974510382330976,149
273,1531,15.923048013972137,112,0.9005806720903511,112
663,1550,14.690796101397122,317,0.9182462944199137,317
2219,1693,14.659067095448457,205,0.8282795390708451,205
1699,1831,14.310527728978606,290,0.6827863206190709,290
2175,1926,15.333181013827609,173,0.958276133198255,173
271,2253,14.912672900978619,181,0.7228624853041791,181
1788,2284,12.917129795583545,442,0.8975479966982822,442
873,2411,14.96963018971412,172,0.8867016800015313,172
442,2411,15.755003637880845,141,0.8627378755018111,141
1648,2419,14.327854658258486,384,0.8780684615757977,384
1590,2471,14.057842449416922,414,0.8517182903710663,414
659,2536,13.968662490604531,651,0.8272308834037437,651
1810,2631,17.343335366562073,1059,0.6974977991921166,1059
680,2686,14.822786813075538,164,0.8442215394046184,164
1533,2693,14.488887393488014,152,0.9032253751547036,152
1514,2713,15.076590903354305,73,0.8000101134549872,73
1579,2732,15.275283986893658,119,0.9242250935798382,119
1029,2755,nan,1043,0.8496512322755534,1043
817,2768,14.147409042597095,201,0.8791828714321179,201
1058,2790,14.929221764359479,71,0.8280156803293539,71
2025,2915,14.808597415736958,152,0.8478585614596111,152
1589,2935,13.131902043406336,279,0.893437931668922,279
2287,3144,14.819115243229088,113,0.8652788443881542,113
1047,3245,13.397302445945265,299,0.6392604417083192,299
1637,3246,14.439522998034729,241,0.6724068972471676,241
1049,3286,13.48644432202599,626,0.8017200125658127,626
2033,3314,15.369168852056276,141,0.8954772474689353,141
1557,3332,14.655199262509043,134,0.9608239929572524,134
341,3333,16.1067584211648,88,0.8705095952765702,88
1216,3408,13.55222026684055,342,0.8939597649789403,342
1436,3420,14.711035261809196,116,0.8826185125912879,116
2230,3627,14.186154894337854,357,0.8722071037587645,357
1857,3654,14.952106400368269,186,0.9078847149689617,186
1449,3798,14.66940704210446,166,0.845657965503075,166
1833,4031,14.474718965847396,303,0.9333468328036197,303
1484,4306,15.507735467057273,112,0.7952736616309363,112
1340,4346,13.565239270358633,185,0.9272882630412135,185
